Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Algeria,13795915,14110271,14439749,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739379,19351357,20000097,20682111,21393530,22132905,22882553,23586101,24243019,24889507,25518074,26133905,26748303,27354328,27937006,28478022,28984634,29476031,29924669,30346083,30774621,31331222,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414172,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477390,46164219,46814308,47435312,
Angola,6029701,6177049,6364732,6578230,6802495,7032713,7266781,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16747208,17327700,17943712,18600423,19291161,20015279,20778562,21578655,22414774,23294825,24218352,25177394,26165620,27160770,28157798,29183070,30234839,31297155,32375633,33451133,34532429,35635029,36749906,37885850,39040039,
Benin,3023443,3088381,3156408,3227380,3301277,3378703,3460330,3546454,3636927,3732395,3833939,3941569,4054385,4171527,4293071,4419552,4551382,4688787,4831625,4979680,5133420,5293046,5457778,5706181,5923394,6046511,6203860,6387026,6584183,6788589,6998023,7445596,7675427,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093624,10397657,10708834,11030004,11360681,11697842,12039780,12383348,12726755,13070169,13413417,13759501,14111035,14462724,14814460,
Botswana,592244,604139,626602,657246,691570,727930,766425,806968,849394,893500,938579,982747,1023009,1060717,1099170,1138704,1179263,1220361,1261272,1301671,1341474,1380584,1420695,1462262,1503545,1543634,1582170,1619354,1655700,1691558,1726985,1712254,1744763,1775737,1807146,1839877,1874517,1911201,1949971,1990673,2033111,2073535,2108617,2140683,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480245,2521139,2562122,
Burkina Faso,5611666,5707793,5805283,5907742,6018141,6138445,6269765,6416569,6577780,6749939,6932967,7123731,7321817,7531184,7751476,7979185,8207827,8434997,8663721,8895234,9131361,9365064,9598555,9840075,10091256,10353263,10621211,10897353,11201063,11533554,11882888,12295001,12680897,13082532,13500534,13932124,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961953,21478690,21995243,22509039,23025776,23548781,24074580,
Burundi,3497835,3582071,3579195,3571450,3660032,3749232,3830889,3927428,4039410,4137437,4312835,4490744,4602272,4726506,4842268,4948024,5041706,5157769,5271840,5373697,5483794,5594829,5743085,5555220,5586409,5932783,5930507,5923862,6035340,6180180,6307660,6634365,6824133,7043155,7310656,7587299,7865547,8161874,8505637,8947646,9376445,9717978,10071028,10439341,10799786,11047580,11239451,11506762,11859446,12255337,12617036,12965482,13321098,13689450,14047786,14390003,
Cabo Verde,287263,293506,296819,299191,301682,304376,307016,309389,311685,313996,317234,321634,326319,330971,335473,339874,344271,348718,353233,358150,364564,372722,381947,391749,401655,411382,421007,430654,440214,449627,458251,460293,467046,473383,479370,485116,490728,496190,501355,506141,509785,511447,511955,512225,512326,512394,512555,512893,513415,514104,514680,516649,519741,522331,524877,527326,
Cameroon,6452787,6627350,6809469,6998688,7194697,7397418,7598028,7796825,8013279,8243377,8519892,8829048,9046986,9240672,9508571,9804255,10112712,10433905,10759573,11089222,11430520,11777720,12128605,12486773,12848863,13211648,13575324,13941181,14314599,14698973,15091595,15309491,15725528,16160340,16610488,17074594,17550407,18049896,18574057,19113974,19668066,20232304,20809529,21402376,22059893,22763415,23454162,24128601,24806383,25506095,26210558,26915759,27632772,28372687,29123744,29879337,
CAR,2067357,2111224,2153614,2195906,2239305,2283927,2318349,2342049,2365957,2390329,2415276,2441010,2467636,2495098,2523538,2553075,2583631,2615594,2657235,2724109,2809221,2898053,2991728,3089146,3187844,3276707,3363570,3458472,3555064,3655360,3759170,3919487,4006078,4103086,4192826,4288811,4377579,4462771,4558984,4529047,4492996,4565022,4610848,4642419,4623182,4629321,4713664,4793511,4878657,4944704,5026629,5112100,5098040,5152421,5330690,5513282,
Chad,3667394,3742534,3824400,3912905,4000560,4084110,4163052,4238551,4313479,4402942,4408230,4409225,4622828,4859174,4920557,4967590,5118160,5300852,5483038,5670619,5827069,6042429,6302927,6448281,6592999,6888856,7200291,7450874,7709115,7981889,8512093,8804124,9116193,9487833,9920036,10328092,10706424,11081661,11476296,11893754,12312575,12754997,13210998,13691080,14188679,14647621,15114655,15622759,16156531,16685223,17224679,17828274,18455316,19319064,20299123,21003705,
Comoros,242351,249066,256187,263728,271719,280036,288810,298152,307939,318123,328328,337986,347054,356138,365665,375650,386068,396888,408070,419584,431119,442277,452990,463318,473479,483761,494288,505033,515959,526444,536758,547220,558924,569798,580704,592677,604753,616927,629307,641948,654836,668056,681630,696193,711503,726682,741741,756670,771590,786578,802164,818175,834188,850387,866628,882848,
Congo,1396990,1440160,1485274,1532069,1580280,1624935,1665418,1706182,1747207,1788219,1829256,1870540,1911635,1951851,2001740,2062555,2124863,2188654,2253336,2319177,2385435,2452675,2520958,2594168,2669221,2742309,2816595,2875037,2937167,3016659,3134030,3272538,3350771,3445753,3565554,3696393,3837409,3980430,4113518,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,6484437,
Cote d'Ivoire,5477086,5718867,5979985,6257373,6548924,6853981,7142690,7415900,7700817,7996369,8303810,8621622,8948119,9282051,9621405,9964075,10309440,10663499,11043193,11462943,11910541,12369269,12838314,13316448,13802285,14299727,14810946,15335454,15858990,16345894,16799670,18178913,18654772,19125542,19595001,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939776,24527396,25246343,25989405,26733372,27464173,28193009,28915450,29639737,30395002,31165654,31934230,32711547,
Djibouti,144379,154225,165235,177327,191389,208582,229304,253083,278425,302856,324121,341316,355110,367726,382157,400709,424286,452272,482337,521104,577174,628521,623197,611231,623478,629619,644649,667786,694920,719371,742033,771313,795574,813519,826124,839167,855764,874528,892734,911527,930252,948558,966748,984825,1002718,1020313,1037653,1054841,1071882,1088709,1105189,1121248,1137096,1152944,1168722,1184077,
